ID,NR,TraceSampleCode,Region,RegionNo,d2H,LabNo
1.1600000000000000e+02,6.0000000000000000e+00,"1BDeNor08060006","NOR",1.6000000000000000e+01,-1.1400000000000000e+02,
1.1700000000000000e+02,7.0000000000000000e+00,"1BDeNor08060007","NOR",1.6000000000000000e+01,-1.1600000000000000e+02,
1.1800000000000000e+02,8.0000000000000000e+00,"1BDeNor08060008","NOR",1.6000000000000000e+01,-1.1800000000000000e+02,
1.1900000000000000e+02,9.0000000000000000e+00,"1BDeNor08090009","NOR",1.6000000000000000e+01,-1.0900000000000000e+02,
1.2000000000000000e+02,1.0000000000000000e+01,"1BDeNor08090010","NOR",1.6000000000000000e+01,-1.1100000000000000e+02,
1.2100000000000000e+02,1.1000000000000000e+01,"1BDeNor08090011","NOR",1.6000000000000000e+01,-1.1800000000000000e+02,
1.2200000000000000e+02,1.2000000000000000e+01,"1BDeNor08100012","NOR",1.6000000000000000e+01,-1.1800000000000000e+02,
1.2300000000000000e+02,1.3000000000000000e+01,"1BDeNor08110013","NOR",1.6000000000000000e+01,-1.2200000000000000e+02,
1.2400000000000000e+02,1.4000000000000000e+01,"1BDeNor08110014","NOR",1.6000000000000000e+01,-1.1500000000000000e+02,
1.2500000000000000e+02,1.5000000000000000e+01,"1BDeNor08110015","NOR",1.6000000000000000e+01,-1.1700000000000000e+02,
1.2600000000000000e+02,1.6000000000000000e+01,"1BDeNor08120016","NOR",1.6000000000000000e+01,-1.2600000000000000e+02,
1.2700000000000000e+02,1.7000000000000000e+01,"1BDeNor08120017","NOR",1.6000000000000000e+01,-1.1600000000000000e+02,
1.2800000000000000e+02,1.8000000000000000e+01,"1BDeNor08120018","NOR",1.6000000000000000e+01,-1.1600000000000000e+02,
1.2900000000000000e+02,1.9000000000000000e+01,"1BDeNor08120019","NOR",1.6000000000000000e+01,-1.1900000000000000e+02,
1.3000000000000000e+02,2.0000000000000000e+01,"1BDeNor08120020","NOR",1.6000000000000000e+01,-1.1700000000000000e+02,
1.3100000000000000e+02,1.0000000000000000e+00,"1BUKOrk08030001","ORK",1.7000000000000000e+01,-9.6290000000000006e+01,
1.3200000000000000e+02,2.0000000000000000e+00,"1BUKOrk08030002","ORK",1.7000000000000000e+01,-1.0037000000000000e+02,
1.3300000000000000e+02,3.0000000000000000e+00,"1BUKOrk08030003","ORK",1.7000000000000000e+01,-1.0012000000000000e+02,
1.3400000000000000e+02,4.0000000000000000e+00,"1BUKOrk08030004","ORK",1.7000000000000000e+01,-9.6439999999999998e+01,
1.3500000000000000e+02,5.0000000000000000e+00,"1BUKOrk08030005","ORK",1.7000000000000000e+01,-9.7840000000000003e+01,
1.3600000000000000e+02,6.0000000000000000e+00,"1BUKOrk08030006","ORK",1.7000000000000000e+01,-9.5980000000000004e+01,
1.3700000000000000e+02,7.0000000000000000e+00,"1BUKOrk08030007","ORK",1.7000000000000000e+01,-9.7439999999999998e+01,
